NAME,OCS_NAME,LONG_NAME
,Pria Dbl Choc Br Ckie .98oz,Powerbar Pria Double Chocolate Cookie (.98oz)
,Pria Mint Choc Ckie Br .98oz,Powerbar Pria Mint Chocolate Cookie (.98oz)
Ritz Bits Chs Bits 3oz,Ritz Bits Chs Bits 3oz,Ritz Bits Cheese Bits (3oz)
Ritz Bits Chs Bit 1.5oz,Ritz Bits Chs Bit 1.5oz,Ritz Bits Cheese Bits (1.5oz)
Ruger ChocWafer 2.125oz,Ruger ChocWafer 2.125oz,Ruger Chocolate Wafer (2.125oz)
BarbarasSnkOatml2.125oz,BarbarasSnkOatml2.125oz,Barbaras Snackimals Wheat Free Oatmeal Cookie (2.125oz)
Snkwell Choc Ckie 1.7oz,Snkwell Choc Ckie 1.7oz,Snackwells Chocolate Creme Sandwich Cookies (1.7oz)
Snydr HMnO Pretz 2.25oz,Snydr HMnO Pretz 2.25oz,Snyders Honey Mustard Onion Pretzel Pieces (2.25oz)
S-Maid Choc Rsn 3.5oz,S-Maid Choc Rsn 3.5oz,Sun-Maid Chocolate Covered Raisins (3.5oz)
,Sunridge Gld & Hny Gran 20oz,SunRidge Farms Gold & Honey Granola (20oz)
,Sunridge Org Sunny Bears 2oz,SunRidge Farms Organic Sunny Bears (2oz)
TTK Choc Cck 3.25oz,TTK Choc Cck 3.25oz,Tastykake Chocolate Cupcake (3.25oz)
TTK ChocFrost Dnuts 3oz,TTK ChocFrost Dnuts 3oz,Tastykake Chocolate Donut (3oz)
TTK Choc Juniors 3oz,TTK Choc Juniors 3oz,Tastykake Chocolate Juniors (3oz)
TTK Choc Kandy Kake 2oz,TTK Choc Kandy Kake 2oz,Tastykake Chocolate Kandy Kakes (2oz)
TTK Glz Hny Bun 3.25oz,TTK Glz Hny Bun 3.25oz,Tastykake Glazed Honey Bun (3.25oz)
TTK Iced Hny Bun 3.25oz,TTK Iced Hny Bun 3.25oz,Tastykake Iced Honey Bun (3.25oz)
TeddyGrahams Choc .75oz,TeddyGrahams Choc .75oz,Teddy Grahams Chocolate (.75oz)
Whtables Hny Whet 1.5oz,Whtables Hny Whet 1.5oz,Wheatables Honey Wheat (1.5oz)
Zone ChocAlmdRsn 1.76oz,Zone ChocAlmdRsn 1.76oz,Zone Chocolate Almond Raisin Bar (1.76oz)
Zone Choc Carm Br1.76oz,Zone Choc Carm Br1.76oz,Zone Chocolate Caramel Cluster Bar (1.76oz)
Zone ChocMint Br 1.76oz,Zone ChocMint Br 1.76oz,Zone Perfect Chocolate Mint Bar (1.76oz)
Zone Choc PB 1.76oz,Zone Choc PB 1.76oz,Zone Chocolate Peanut Butter Bar (1.76oz)
,Zone Choc Rberry Br 1.76oz,Zone Chocolate Raspberry Bar (1.76oz)
,AZ Iced T Pch Stk SF,Arizona Sugar Free Peach Iced Tea Sticks
,Berkeley 2% Mlk .5gal,Berkeley 2% Milk (.5gal)
,Berkeley 2% Mlk .5pt,Berkeley 2% Milk (.5pt)
,Berkeley 2% Mlk 1gal,Berkeley 2% Milk (1gal)
,Berkeley 2% Mlk 1qt,Berkeley 2% Milk (1qt)
,Berkeley FF Choc Mlk .5pt,Berkeley Fat Free Chocolate Milk (.5 pt.)
,Berkeley FF Mlk .5gal,Berkeley Fat Free Milk (.5gal)
,Berkeley FF Mlk 1gal,Berkeley Fat Free Milk (1gal)
